x,r,cf_t,pressure,yplus
0.0,0.01,213.94412661197254,996494.1,2.084837
0.0009090909,0.01000433,215.99092051420175,977297.0,2.065336
0.001818182,0.01001725,221.9136363861064,956052.6,2.06314
0.002727273,0.01003869,228.24430241482443,926998.7,2.057779
0.003636364,0.01006858,233.65638186883393,893343.6,2.045766
0.004545455,0.01010683,238.11823455563916,857198.1,2.02839
0.005454545,0.01015336,241.85555659985644,819881.5,2.007338
0.006363636,0.01020809,244.94171860585283,781416.4,1.982862
0.007272727,0.01027095,247.16994794843066,742629.2,1.954854
0.008181818,0.01034186,248.74317454875674,704941.5,1.925117
0.009090909,0.01042074,249.84256701213945,668450.4,1.894255
0.01,0.0105075,250.508005391779,633238.0,1.862525
0.01090909,0.01060207,250.76241832877952,599357.1,1.830101
0.01181818,0.01070438,250.62876194026998,566833.2,1.797158
0.01272727,0.01081434,250.1166306647315,535670.4,1.763777
0.01363636,0.01093187,249.2386657181428,505858.9,1.729961
0.01454545,0.01105689,247.99381741980173,477378.7,1.695791
0.01545455,0.01118933,246.3913516735626,450202.8,1.661322
0.01636364,0.01132911,244.4399843822944,424301.4,1.626593
0.01727273,0.01147614,242.1504330400547,399641.5,1.59169
0.01818182,0.01163035,239.56770766284708,376189.1,1.556781
0.01909091,0.01179167,236.77644260848763,353907.3,1.522095
0.02,0.01196,233.7969826794099,332758.0,1.487637
0.02090909,0.01213528,230.55448547697446,312703.0,1.453188
0.02181818,0.01231742,227.0769671479549,293704.8,1.418797
0.02272727,0.01250634,223.3815577990962,275726.3,1.384524
0.02363636,0.01270197,219.4822200579826,258729.9,1.350417
0.02454545,0.01290422,215.39741845331233,242678.0,1.31652
0.02545455,0.01311303,211.1470832840152,227532.7,1.28288
0.02636364,0.0133283,206.7507841216263,213256.1,1.249556
0.02727273,0.01354996,202.2303894714639,199810.6,1.216608
0.02818182,0.01377794,197.60589507353933,187158.9,1.184089
0.02909091,0.01401214,192.89922269290193,175264.0,1.151997
0.03,0.0142525,188.12551845764966,164089.5,1.12036
0.03090909,0.01449893,183.3004006716581,153599.5,1.089213
0.03181818,0.01475136,178.44711732616724,143758.8,1.058609
0.03272727,0.01500971,173.6114640536011,134531.6,1.028686
0.03363636,0.01527389,168.8036587710706,125878.7,0.9994062
0.03454545,0.01554383,163.95602764373106,117770.8,0.9705342
0.03545455,0.01581945,159.03530283353328,110174.5,0.9419296
0.03636364,0.01610068,154.03557551244165,103062.3,0.9135574
0.03727273,0.01638742,148.98452728069185,96407.57,0.885489
0.03818182,0.01667961,143.90984837022285,90181.01,0.8577852
0.03909091,0.01697716,138.8696882487765,84361.12,0.8305629
0.04,0.01728,133.91061444663762,78921.34,0.8039276
0.04090909,0.01758804,129.08628973161336,73840.07,0.7778913
0.04181818,0.01790122,124.41260521132898,69096.88,0.7526816
0.04272727,0.01821944,119.9205978751512,64669.89,0.7283493
0.04363636,0.01854263,115.63700766780134,60541.72,0.7049481
0.04454545,0.01887071,111.57416208545034,56691.7,0.6824952
0.04545455,0.01920361,107.73949404164105,53105.08,0.6610125
0.04636364,0.01954123,104.13442847987149,49763.43,0.6405036
0.04727273,0.01988352,100.75929930854971,46653.51,0.6209751
0.04818182,0.02023037,97.6070581914637,43759.5,0.6024093
0.04909091,0.02058173,94.67871203017593,41069.1,0.584822
0.05,0.0209375,91.96375794914434,38568.69,0.5681803
0.05090909,0.02129761,89.46662537092456,36246.99,0.5525036
0.05181818,0.02166198,87.17812501347005,34091.65,0.5377722
0.05272727,0.02203053,85.09818240503391,32092.72,0.5239934
0.05363636,0.02240319,83.21567310202285,30238.33,0.5111268
0.05454545,0.02277986,81.53543914761728,28519.44,0.4991863
0.05545455,0.02316049,80.04087039722945,26925.15,0.4881074
0.05636364,0.02354497,78.72611085569024,25446.8,0.4778835
0.05727273,0.02393325,77.58732961698786,24075.07,0.4684911
0.05818182,0.02432523,76.6096404118521,22801.25,0.4598694
0.05909091,0.02472084,75.78561156882814,21617.58,0.4519849
0.06,0.02512,75.10252136364934,20516.36,0.444786
0.06090909,0.02552263,74.54718204870173,19490.65,0.4382275
0.06181818,0.02592866,74.10842983708616,18533.88,0.432267
0.06272727,0.02633799,73.77152188822762,17640.23,0.4268484
0.06363636,0.02675056,73.52592701202093,16804.61,0.4219267
0.06454545,0.02716629,73.35885501437829,16022.11,0.417457
0.06545455,0.02758509,73.26266895122286,15288.59,0.4133924
0.06636364,0.0280069,73.22182794601403,14600.58,0.4097052
0.06727273,0.02843162,73.23334076147707,13955.07,0.4063682
0.06818182,0.02885918,73.29103161919308,13349.01,0.4033567
0.06909091,0.0292895,73.39179091110941,12779.85,0.4006489
0.07,0.0297225,73.53401517091116,12245.36,0.3982291
0.07090909,0.03015811,73.71567600269921,11743.48,0.3960906
0.07181818,0.03059624,73.93378108979303,11272.03,0.3942122
0.07272727,0.03103681,74.18641537165853,10828.91,0.3925715
0.07363636,0.03147976,74.47146454322029,10412.15,0.3911501
0.07454545,0.03192499,74.78784981848979,10019.8,0.3899345
0.07545455,0.03237243,75.13852354099012,9649.909,0.3889122
0.07636364,0.032822,75.59899186371254,9301.166,0.387993
0.07727273,0.03327362,76.01810384631044,8971.61,0.3872787
0.07818182,0.03372721,76.45054699690823,8659.021,0.3866966
0.07909091,0.0341827,76.89737020314121,8362.091,0.3862132
0.08,0.03464,77.35113965708045,8079.55,0.3857972
0.08090909,0.03509904,77.80417627852592,7810.207,0.3854178
0.08181818,0.03555973,78.24567563281174,7552.989,0.3850413
0.08272727,0.036022,78.668022275275,7306.906,0.3846445
0.08363636,0.03648577,79.05909303286057,7071.102,0.3841967
0.08454545,0.03695096,79.40837936893902,6844.856,0.38367
0.08545455,0.03741749,79.70984110227289,6627.499,0.3830459
0.08636364,0.03788528,79.95448191171775,6418.503,0.3823039
0.08727273,0.03835426,80.1315351023747,6217.447,0.3814223
0.08818182,0.03882434,80.23374498468452,6023.9,0.3803826
0.08909091,0.03929545,80.26075830667315,5837.46,0.3791803
0.09,0.0397675,80.24082082023385,5657.879,0.3778638
0.09090909,0.04024042,80.10185794153765,5485.346,0.3763301
0.09181818,0.04071413,79.86691600614778,5319.106,0.3745917
0.09272727,0.04118855,79.53488128819718,5159.024,0.3726488
0.09363636,0.0416636,79.10719177895206,5004.968,0.3705064
0.09454545,0.0421392,78.58579698846083,4856.831,0.3681728
0.09545455,0.04261528,77.97229956388877,4714.518,0.3656547
0.09636364,0.04309175,77.27215966627824,4577.875,0.3629651
0.09727273,0.04356854,76.49567068525998,4446.758,0.3601242
0.09818182,0.04404556,75.64367116483905,4321.113,0.3571432
0.09909091,0.04452274,74.72075975750936,4200.756,0.3540331
0.1,0.045,73.73427391168916,4085.47,0.3508111
0.1009091,0.04547726,72.68883310254103,3975.081,0.3474917
0.1018182,0.04595444,71.58924597465926,3869.426,0.3440878
0.1027273,0.04643146,70.44380262143105,3768.343,0.3406188
0.1036364,0.04690825,69.26128671352534,3671.706,0.3371057
0.1045455,0.04738472,68.05129637143054,3579.396,0.3335709
0.1054545,0.0478608,66.82315753559975,3491.309,0.3300374
0.1063636,0.0483364,65.58620600139446,3407.334,0.3265269
0.1072727,0.04881145,64.34924993951523,3327.362,0.3230602
0.1081818,0.04928587,63.12069014769177,3251.283,0.3196578
0.1090909,0.04975958,61.9082216200717,3178.972,0.3163365
0.11,0.0502325,60.71897922475746,3110.315,0.3131112
0.1109091,0.05070455,59.55978087175571,3045.193,0.3099974
0.1118182,0.05117566,58.436575979753556,2983.483,0.3070087
0.1127273,0.05164574,57.355327397333255,2925.064,0.3041594
0.1136364,0.05211472,56.32505704046322,2869.782,0.3014701
0.1145455,0.05258251,55.37811834039806,2817.274,0.2989929
0.1154545,0.05304904,54.46779730827482,2768.182,0.2966802
0.1163636,0.05351423,53.60844647944586,2721.999,0.2945366
0.1172727,0.053978,52.80484776451846,2678.571,0.2925724
0.1181818,0.05444027,52.060114734716855,2637.8,0.2907973
0.1190909,0.05490096,51.376547536974975,2599.605,0.2892198
0.12,0.05536,50.755485151689534,2563.915,0.2878457
0.1209091,0.0558173,50.182140843023326,2530.906,0.2866443
0.1218182,0.05627279,49.33955546553975,2505.364,0.2848721
0.1227273,0.05672638,43.58072427984845,2589.24,0.2705283
0.1236364,0.057178,13.929166787885068,4407.232,0.1642369
0.1245455,0.05762757,-40.699819311189266,10780.89,0.3383758
0.1254545,0.05807501,-57.08260507179077,16900.12,0.4748461
0.1263636,0.05852024,-56.479404450937075,21565.48,0.5315332
0.1272727,0.05896319,-47.50816640770474,22798.93,0.5256756
0.1281818,0.05940376,-38.417521148125886,22530.78,0.5139273
0.1290909,0.05984189,-35.51463467924293,25028.67,0.5547477
0.13,0.0602775,-38.24058395895637,32684.09,0.6557236
0.1309091,0.0607105,-41.594243965583594,44017.26,0.7650527
0.1318182,0.06114082,-42.72937648903356,55524.84,0.839993
0.1327273,0.06156838,-40.55058117672885,63891.57,0.8605846
0.1336364,0.0619931,-36.17360371708692,68543.7,0.8359937
0.1345455,0.06241491,-30.28650035988774,69452.17,0.7715293
0.1354545,0.06283371,-22.760854470029585,66459.61,0.6717269
0.1363636,0.06324944,-14.293272315164574,60869.12,0.5640411
0.1372727,0.06366201,-7.108423760176863,55128.48,0.5055402
0.1381818,0.06407134,-4.046270631332623,49038.23,0.3870881
0.1390909,0.06447737,-2.9005233467760196,43475.73,0.3294207
0.14,0.06488,-2.522818219925035,38704.84,0.3073228
0.1409091,0.06527916,-2.497871490439582,34933.68,0.3057754
0.1418182,0.06567477,-2.6061596605219335,32313.77,0.3129548
0.1427273,0.06606675,-2.6946767041519424,30839.44,0.319954
0.1436364,0.06645503,-2.670823379961219,30375.44,0.3214824
0.1445455,0.06683951,-2.492788987351089,30733.94,0.3145115
0.1454545,0.06722014,-2.1435321715876605,31731.05,0.2960815
0.1463636,0.06759681,-1.6177203445097534,33210.74,0.2615375
0.1472727,0.06796947,-0.9208032455196522,35045.98,0.2007708
0.1481818,0.06833802,-0.06674550357268116,37131.52,0.05500009
0.1490909,0.06870239,0.8979465832239543,39363.79,0.2051691
0.15,0.0690625,1.8891186710837484,41648.17,0.3024437
0.1509091,0.06941827,2.8171500693265723,43900.52,0.3750691
0.1518182,0.06976963,3.608259824741314,46040.42,0.4307025
0.1527273,0.07011648,4.225139107773669,48008.86,0.4724886
0.1536364,0.07045877,4.669564538311436,49770.18,0.5031054
0.1545455,0.07079639,4.973543690727876,51313.6,0.5254263
0.1554545,0.07112929,5.179594580580594,52648.37,0.5421437
0.1563636,0.07145737,5.3245100056020025,53792.01,0.5553358
0.1572727,0.07178056,5.4323683987440505,54761.01,0.5663075
0.1581818,0.07209878,5.514797080393801,55566.56,0.5756772
0.1590909,0.07241196,5.574865826299644,56216.45,0.5836097
0.16,0.07272,5.611782828841947,56718.91,0.5900648
0.1609091,0.07302284,5.6236093358328105,57084.12,0.594941
0.1618182,0.07332039,5.610258457412381,57324.38,0.5982304
0.1627273,0.07361258,5.572967287840311,57449.63,0.5999852
0.1636364,0.07389932,5.512092256312274,57465.56,0.6001973
0.1645455,0.07418055,5.427439466079428,57375.87,0.5988187
0.1654545,0.07445617,5.318965686846374,57186.96,0.5958071
0.1663636,0.07472611,5.188095683777584,56912.03,0.5912069
0.1672727,0.07499029,5.038427655897576,56572.2,0.5851949
0.1681818,0.07524864,4.87544367589652,56194.17,0.5780783
0.1690909,0.07550107,4.705719908588279,55806.04,0.5702464
0.17,0.0757475,4.535884607173383,55433.23,0.5621135
0.1709091,0.07598786,4.371290789224508,55095.74,0.5540393
0.1718182,0.07622206,4.215691036996425,54807.83,0.5462976
0.1727273,0.07645004,4.071686712422868,54578.64,0.5390995
0.1736364,0.0766717,3.940782912746147,54413.21,0.532591
0.1745455,0.07688697,3.8235335529024446,54313.92,0.5268567
0.1754545,0.07709578,3.720020403234347,54281.95,0.5219486
0.1763636,0.07729803,3.63030420651456,54318.85,0.5179175
0.1772727,0.07749366,3.5548534428303915,54427.52,0.5148441
0.1781818,0.07768258,3.4945671364426745,54611.39,0.5128401
0.1790909,0.07786472,3.4504143768031463,54872.68,0.5120182
0.18,0.07804,3.4231190594910306,55211.06,0.5124676
0.1809091,0.07820833,3.41310830247694,55623.42,0.5142436
0.1818182,0.07836965,3.420711877703206,56104.13,0.5173818
0.1827273,0.07852386,3.445580776856968,56644.99,0.5218533
0.1836364,0.07867089,3.486089474066388,57235.07,0.5275184
0.1845455,0.07881067,3.540956667787786,57863.02,0.5342544
0.1854545,0.07894311,3.608765434812388,58518.61,0.5419241
0.1863636,0.07906813,3.6880270454959363,59193.83,0.5503871
0.1872727,0.07918566,3.7771600406985177,59883.59,0.5594993
0.1881818,0.07929562,3.8744044950882044,60585.95,0.56911
0.1890909,0.07939793,3.977717721104198,61302.03,0.5790563
0.19,0.0794925,4.084616890237277,62035.46,0.5891515
0.1909091,0.07957926,4.192055304361528,62791.78,0.5991776
0.1918182,0.07965814,4.296620704499317,63577.97,0.6089034
0.1927273,0.07972905,4.395012780466555,64401.65,0.6181107
0.1936364,0.07979191,4.4845475611366545,65269.62,0.6266283
0.1945455,0.07984664,4.563820232960722,66185.44,0.6343743
0.1954545,0.07989317,4.633495826558146,67146.17,0.6413988
0.1963636,0.07993142,4.697069428734093,68139.34,0.6479253
0.1972727,0.07996131,4.761148214096187,69142.78,0.6543826
0.1981818,0.07998275,4.834540506019282,70131.09,0.6613255
0.1990909,0.07999567,4.9200984254255635,71090.45,0.6689286
0.2,0.08,5.061944159102462,72077.3,0.6802037
